# nP: 100
# k: 9800
# h: 6
Particle num,x,y,vx,vy,ay,cellRow,cellCol,time(s)
1,107.747360,355.442352,16.412037,19.714334,-9.800000,,2,0, 1.000000
2,681.043030,260.073883,29.065237,19.876011,-9.800000,,1,4, 1.000000
3,620.854797,52.224335,16.002256,11.944215,-9.800000,,0,3, 1.000000
4,450.076904,653.835876,9.684886,11.417936,-9.800000,,4,2, 1.000000
5,35.838139,679.044861,17.111004,2.801696,-9.800000,,4,0, 1.000000
6,195.463455,217.316223,23.420265,24.657923,-9.800000,,1,1, 1.000000
7,291.433929,590.574646,6.746567,22.638012,-9.800000,,3,1, 1.000000
8,702.804382,272.394897,4.167967,15.545086,-9.800000,,1,4, 1.000000
9,188.995117,200.545609,6.021646,0.419511,-9.800000,,1,1, 1.000000
10,446.270172,402.198425,5.465522,22.055298,-9.800000,,2,2, 1.000000
11,138.333466,158.453857,24.348248,4.192593,-9.800000,,0,0, 1.000000
12,311.339172,711.955627,5.648931,26.275455,-9.800000,,4,1, 1.000000
13,362.219330,584.479370,17.787077,4.471799,-9.800000,,3,2, 1.000000
14,472.117126,211.794083,20.133953,15.969673,-9.800000,,1,2, 1.000000
15,493.789856,517.689331,7.860684,11.257371,-9.800000,,3,3, 1.000000
16,659.043579,162.266510,5.595365,15.512228,-9.800000,,1,4, 1.000000
17,315.995270,480.601532,29.667240,22.127024,-9.800000,,3,1, 1.000000
18,320.122345,778.925842,21.733681,5.903347,-9.800000,,4,2, 1.000000
19,243.671661,80.474426,26.969303,13.248477,-9.800000,,0,1, 1.000000
20,782.605774,555.106140,22.679741,17.191397,-9.800000,,3,4, 1.000000
21,47.094841,135.392654,27.490871,2.317310,-9.800000,,0,0, 1.000000
22,623.215942,493.685150,26.421293,7.557972,-9.800000,,3,3, 1.000000
23,469.158966,128.323456,7.127142,27.286715,-9.800000,,0,2, 1.000000
24,577.541809,199.074509,6.441607,4.633870,-9.800000,,1,3, 1.000000
25,191.866699,517.396667,1.159946,9.714972,-9.800000,,3,1, 1.000000
26,268.948639,107.010689,17.632484,20.691984,-9.800000,,0,1, 1.000000
27,113.681831,510.039642,24.189581,24.480761,-9.800000,,3,0, 1.000000
28,500.057556,504.654205,22.417158,10.900663,-9.800000,,3,3, 1.000000
29,34.489010,400.208130,11.499847,24.713274,-9.800000,,2,0, 1.000000
30,289.725555,159.872620,14.116939,11.692915,-9.800000,,0,1, 1.000000
31,216.134140,655.837158,26.701206,14.130636,-9.800000,,4,1, 1.000000
32,345.362793,158.348740,8.599055,24.963900,-9.800000,,0,2, 1.000000
33,629.157288,23.097893,1.141372,20.679050,-9.800000,,0,3, 1.000000
34,594.899414,145.674759,10.047925,11.366068,-9.800000,,0,3, 1.000000
35,259.221741,269.829346,11.681270,11.441510,-9.800000,,1,1, 1.000000
36,477.657501,701.699707,2.301521,10.055605,-9.800000,,4,2, 1.000000
37,129.203339,195.996414,12.265419,16.274288,-9.800000,,1,0, 1.000000
38,13.455706,224.120209,9.672453,25.757839,-9.800000,,1,0, 1.000000
39,113.856819,20.396349,12.008113,27.572800,-9.800000,,0,0, 1.000000
40,520.575195,576.637085,4.699064,18.674639,-9.800000,,3,3, 1.000000
41,479.798431,703.878357,18.985920,21.764616,-9.800000,,4,2, 1.000000
42,632.103638,381.659210,18.921038,4.253582,-9.800000,,2,3, 1.000000
43,367.100800,359.707367,9.774198,12.066236,-9.800000,,2,2, 1.000000
44,56.466499,47.520752,5.954528,10.642421,-9.800000,,0,0, 1.000000
45,181.512207,625.250610,23.905880,1.593184,-9.800000,,3,1, 1.000000
46,169.007812,189.548035,5.746849,0.231391,-9.800000,,1,1, 1.000000
47,57.397392,132.317978,6.825971,23.059868,-9.800000,,0,0, 1.000000
48,627.146606,69.250114,7.214698,23.627073,-9.800000,,0,3, 1.000000
49,412.423157,318.100128,23.106161,25.916645,-9.800000,,1,2, 1.000000
50,62.422691,507.963135,1.408468,3.007217,-9.800000,,3,0, 1.000000
51,17.074764,222.513702,10.994101,27.842461,-9.800000,,1,0, 1.000000
52,540.161865,81.212288,14.072358,24.274214,-9.800000,,0,3, 1.000000
53,575.803589,353.477173,7.951116,1.160677,-9.800000,,2,3, 1.000000
54,649.128540,432.396149,28.558857,8.826593,-9.800000,,2,4, 1.000000
55,528.116821,679.228516,25.615047,27.023617,-9.800000,,4,3, 1.000000
56,58.399666,470.925537,20.718826,13.135892,-9.800000,,2,0, 1.000000
57,765.164185,598.603638,29.532921,8.412982,-9.800000,,3,4, 1.000000
58,444.615662,157.812836,9.860820,11.621991,-9.800000,,0,2, 1.000000
59,744.123535,421.321533,19.917707,15.815685,-9.800000,,2,4, 1.000000
60,624.958679,660.239014,22.154415,21.818020,-9.800000,,4,3, 1.000000
61,145.660492,678.190918,17.149773,12.238821,-9.800000,,4,0, 1.000000
62,311.511780,723.548401,27.543201,12.415913,-9.800000,,4,1, 1.000000
63,383.945312,650.763855,1.470789,10.560650,-9.800000,,4,2, 1.000000
64,643.562988,180.159912,2.398575,9.399531,-9.800000,,1,4, 1.000000
65,533.625854,345.323822,20.610453,20.837008,-9.800000,,2,3, 1.000000
66,166.576202,292.682770,18.035517,2.639692,-9.800000,,1,1, 1.000000
67,552.821167,485.518738,15.509897,9.254575,-9.800000,,3,3, 1.000000
68,765.093201,90.365585,23.552643,23.580986,-9.800000,,0,4, 1.000000
69,125.823547,710.132751,28.401331,23.070475,-9.800000,,4,0, 1.000000
70,438.582916,196.342453,17.153111,7.877718,-9.800000,,1,2, 1.000000
71,498.968140,788.021057,19.524170,18.438828,-9.800000,,4,3, 1.000000
72,721.293396,242.558289,17.098623,9.783726,-9.800000,,1,4, 1.000000
73,28.403278,438.568146,24.660580,3.942899,-9.800000,,2,0, 1.000000
74,74.644173,521.612000,17.355379,19.546574,-9.800000,,3,0, 1.000000
75,441.717194,604.348328,22.633825,11.156203,-9.800000,,3,2, 1.000000
76,466.014252,632.010498,17.400141,1.539572,-9.800000,,3,2, 1.000000
77,406.929871,475.974365,18.730988,8.743920,-9.800000,,2,2, 1.000000
78,158.642868,336.095490,28.047134,10.949534,-9.800000,,2,0, 1.000000
79,590.364563,593.142395,12.064055,28.319729,-9.800000,,3,3, 1.000000
80,366.931763,604.898865,2.394729,22.552052,-9.800000,,3,2, 1.000000
81,133.960236,167.348053,10.111293,1.425768,-9.800000,,1,0, 1.000000
82,374.868866,151.476700,2.064219,11.137429,-9.800000,,0,2, 1.000000
83,38.431931,342.630463,14.405079,14.712758,-9.800000,,2,0, 1.000000
84,188.375641,145.417908,18.812361,21.146912,-9.800000,,0,1, 1.000000
85,604.157532,422.475769,19.241144,19.721676,-9.800000,,2,3, 1.000000
86,458.063751,485.585052,27.939287,18.685446,-9.800000,,3,2, 1.000000
87,795.943787,129.270737,3.120345,3.241267,-9.800000,,0,4, 1.000000
88,563.039001,491.450958,10.926280,19.547430,-9.800000,,3,3, 1.000000
89,443.748962,509.396393,24.418400,15.849651,-9.800000,,3,2, 1.000000
90,142.027939,114.117172,10.559106,21.264725,-9.800000,,0,0, 1.000000
91,354.893494,212.184006,21.714596,15.789238,-9.800000,,1,2, 1.000000
92,799.129700,277.560272,23.571154,21.826902,-9.800000,,1,4, 1.000000
93,720.870178,349.412292,7.447174,7.103664,-9.800000,,2,4, 1.000000
94,247.145233,443.442413,4.575109,28.905554,-9.800000,,2,1, 1.000000
